Zone	Age	CdK	CdL	d13CMu	d15NMu	d13CT	d15NT	d13CLi	d15NLi
NBB	10,5	14,690	6,190	-17,64	11,31	NA	NA	NA	NA
NBB	14	2,640	1,076	-17,45	11,16	NA	NA	NA	NA
NBB	4,8	1,340	0,388	-17,65	11,50	NA	NA	NA	NA
NBB	0,2	0,310	0,059	-17,45	12,36	NA	NA	NA	NA
NBB	3	1,660	0,282	-17,47	11,85	NA	NA	NA	NA
NBB	1,5	1,830	0,277	-17,67	11,52	NA	NA	NA	NA
NBB	7,5	2,830	1,156	-17,73	11,12	NA	NA	NA	NA
NBB	1,8	1,430	0,141	-17,89	11,12	NA	NA	NA	NA
NBB	17	1,980	0,239	-16,57	13,06	NA	NA	NA	NA
NBB	2,2	0,220	0,095	-16,74	12,81	NA	NA	NA	NA
NBB	1,5	0,820	0,261	-17,70	12,05	NA	NA	NA	NA
NBB	13	1,020	0,112	-16,33	13,85	NA	NA	NA	NA
NBB	10	2,070	0,344	-17,03	12,58	NA	NA	NA	NA
NBB	1,8	0,810	0,128	-17,34	11,76	NA	NA	NA	NA
NBB	2,5	0,580	0,082	-16,78	12,86	NA	NA	NA	NA
NBB	9,6	1,230	0,101	-16,78	12,39	NA	NA	NA	NA
NBB	0,3	0,150	0,022	-16,68	12,24	NA	NA	NA	NA
NBB	4,8	1,070	0,608	-17,60	12,04	NA	NA	NA	NA
NBB	2,9	28,260	11,070	-17,76	9,02	NA	NA	NA	NA
NBB	11,8	1,630	0,446	-17,44	11,42	NA	NA	NA	NA
NBB	1,5	0,650	0,126	-19,98	11,75	NA	NA	NA	NA
NBB	16	1,640	0,653	-19,93	12,26	NA	NA	NA	NA
NBB	14	4,610	0,616	-16,97	11,74	NA	NA	NA	NA
NBB	10	1,530	0,365	-18,85	12,51	NA	NA	NA	NA
NBB	1,5	0,390	0,072	-17,55	12,03	NA	NA	NA	NA
NBB	4,5	0,650	0,141	-17,50	11,71	NA	NA	NA	NA
NBB	2	0,630	0,113	-16,89	12,01	NA	NA	NA	NA
NBB	1,5	0,470	0,116	-17,09	12,32	NA	NA	NA	NA
NBB	0,5	0,630	0,106	-17,20	12,83	NA	NA	NA	NA
NBB	1,5	6,810	1,409	-17,81	10,67	NA	NA	NA	NA
NBB	19	2,120	0,519	-17,42	12,08	NA	NA	NA	NA
NBB	17	4,680	2,683	-17,52	12,14	NA	NA	NA	NA
NBB	1,5	0,230	0,041	-16,82	12,53	NA	NA	NA	NA
NBB	8,5	3,270	0,321	-17,08	11,98	NA	NA	NA	NA
NBB	NA	4,200	1,104	-18,30	10,39	NA	NA	NA	NA
NBB	0	0,001	0,003	-16,60	16,26	NA	NA	NA	NA
NBB	3,5	1,320	0,150	-16,98	12,27	NA	NA	NA	NA
NBB	1,5	0,510	0,060	-17,33	12,66	NA	NA	NA	NA
NBB	6,5	1,190	0,700	-16,73	13,49	NA	NA	NA	NA
NBB	3,5	0,860	0,240	-17,52	12,23	NA	NA	NA	NA
NBB	11	2,100	0,022	-17,39	12,79	NA	NA	NA	NA
NBB	8	0,010	0,027	-17,59	12,12	NA	NA	NA	NA
NBB	7,5	2,380	0,590	-17,63	12,06	NA	NA	NA	NA
NBB	5	0,390	0,063	-16,68	13,71	NA	NA	NA	NA
NBB	19	9,340	2,370	-17,23	12,29	NA	NA	NA	NA
NBB	15	9,077	1,492	-17,91	11,56	NA	NA	NA	NA
NBB	14	2,739	0,132	-17,14	12,33	NA	NA	NA	NA
NBB	19	8,499	1,161	-17,48	11,50	NA	NA	NA	NA
NBB	11	4,544	0,810	-16,92	13,17	NA	NA	NA	NA
NBB	0,5	0,344	0,049	-17,16	13,43	NA	NA	NA	NA
NBB	18	5,539	1,362	-17,51	11,91	NA	NA	NA	NA
